go_term	hit_rows	unique_proteins
GO:0033539(PANTHER)	11	11
GO:0033540(PANTHER)	11	11
GO:0035999(PANTHER)	11	11
GO:0036297(PANTHER)	11	11
GO:0042254(PANTHER)	11	11
GO:0043023(PANTHER)	11	11
GO:0043138(PANTHER)	11	11
GO:0045505(PANTHER)	11	11
GO:0051879(PANTHER)	11	11
GO:0070475(PANTHER)	11	11
GO:0071004(PANTHER)	11	11
GO:0004725(InterPro)	41	10
GO:0004089(InterPro)	37	10
GO:0006270(InterPro)	36	10
GO:0006400(InterPro)	33	10
GO:0000155(InterPro)	30	10
GO:0045259(InterPro)	28	10
GO:0005249(InterPro)	27	10
GO:0019752(InterPro)	22	10
GO:0000439(InterPro)	18	10
GO:0048193(InterPro)	16	10
GO:0070403(InterPro)	15	10
GO:0005811(InterPro)	13	10
GO:0046854(InterPro)	11	10
GO:0000407(PANTHER)	10	10
GO:0000938(PANTHER)	10	10
GO:0002161(PANTHER)	10	10
GO:0003910(PANTHER)	10	10
GO:0004035(PANTHER)	10	10
GO:0004088(PANTHER)	10	10
GO:0004176(PANTHER)	10	10
GO:0004383(PANTHER)	10	10
GO:0004534(PANTHER)	10	10
GO:0004813(PANTHER)	10	10
GO:0004930(PANTHER)	10	10
GO:0005546(PANTHER)	10	10
GO:0005749(PANTHER)	10	10
GO:0005850(PANTHER)	10	10
GO:0005876(PANTHER)	10	10
GO:0006271(PANTHER)	10	10
GO:0006400(PANTHER)	10	10
GO:0006419(PANTHER)	10	10
GO:0006515(PANTHER)	10	10
GO:0006567(PANTHER)	10	10
GO:0006807(PANTHER)	10	10
GO:0006952(PANTHER)	10	10
GO:0007031(PANTHER)	10	10
GO:0007035(PANTHER)	10	10
GO:0007094(PANTHER)	10	10
GO:0007188(PANTHER)	10	10
GO:0008320(PANTHER)	10	10
GO:0008541(PANTHER)	10	10
GO:0008610(InterPro)	10	10
GO:0010181(PANTHER)	10	10
GO:0016310(PANTHER)	10	10
GO:0020037(PANTHER)	10	10
GO:0030010(PANTHER)	10	10
GO:0030544(PANTHER)	10	10
GO:0030619(PANTHER)	10	10
GO:0030620(PANTHER)	10	10
GO:0030864(PANTHER)	10	10
GO:0030991(PANTHER)	10	10
GO:0035091(PANTHER)	10	10
GO:0035861(PANTHER)	10	10
GO:0042554(PANTHER)	10	10
GO:0043020(PANTHER)	10	10
GO:0043328(PANTHER)	10	10
GO:0043332(PANTHER)	10	10
GO:0045719(PANTHER)	10	10
GO:0046933(PANTHER)	10	10
GO:0048015(PANTHER)	10	10
GO:0051085(PANTHER)	10	10
GO:0060090(PANTHER)	10	10
GO:0060285(PANTHER)	10	10
GO:0071028(PANTHER)	10	10
GO:0071577(PANTHER)	10	10
GO:0090307(PANTHER)	10	10
GO:0090374(PANTHER)	10	10
GO:0019205(InterPro)	58	9
GO:0005507(InterPro)	28	9
GO:0015629(InterPro)	27	9
GO:0033179(InterPro)	25	9
GO:0004813(InterPro)	22	9
GO:0009165(InterPro)	22	9
GO:0016772(InterPro)	22	9
GO:0009072(InterPro)	21	9
GO:0006419(InterPro)	20	9
GO:0006913(InterPro)	20	9
GO:0008234(InterPro)	20	9
GO:0030488(InterPro)	16	9
GO:0043248(InterPro)	16	9
GO:0004540(InterPro)	15	9
GO:0016272(InterPro)	14	9
GO:0042765(InterPro)	14	9
GO:0016592(InterPro)	13	9
GO:0043161(InterPro)	13	9
GO:0004402(InterPro)	12	9
GO:0017056(InterPro)	12	9
GO:0005049(InterPro)	11	9
